Categoria,Clav_Servicio,Nombre_Servicio,ID_Servicio,EAN_Only
ALLINCLUSIVE,BEVERAGES_INCLUDED,Bebidas incluidas,1,0
ALLINCLUSIVE,BREAKFAST_INCLUDED,Desayuno incluido,2,0
ALLINCLUSIVE,DINNER_INCLUDED,Cena incluida,3,0
ALLINCLUSIVE,LUNCH_INCLUDED,Comida incluida,4,0
BEACH,BCLUB,Club de Playa,5,0
BEACH,BEACH,Playa,6,0
BEACH,BEACHUMBRELLA,Sombrillas en la playa,7,1
BEACH,PALAPAS,Palapas,8,0
BUSINESS,BUSSINES,Centro de Negocios,9,0
BUSINESS,CALLS,Llamadas Locales en Cortesía,10,0
BUSINESS,CHECKINOUTFEAT,Check in rápido,11,1
BUSINESS,CONVENTI,Salón (es) para Eventos,12,0
BUSINESS,MEETING,Sala (s) de Juntas,13,0
CONVENIENCE,ATM,Cajero Automático,14,0
CONVENIENCE,CASACAMB,Cambio de Divisas,15,0
CONVENIENCE,CONCIER,Concierge,16,0
CONVENIENCE,DRYCLEAN,Tintorería,17,0
CONVENIENCE,GIFT,Tienda/Minisuper,18,0
CONVENIENCE,ICEMACH,Máquina de Hielos,19,0
CONVENIENCE,JEWELRY,Joyería,20,0
CONVENIENCE,LAUNDRY,Lavandería,21,0
CONVENIENCE,PARKING,Estacionamiento,22,0
CONVENIENCE,RSERV,Servicio a Cuartos,23,0
CONVENIENCE,TOURHELP,Asistencia con tours,24,1
CONVENIENCE,TRANSPOR,Transportación Disponible,25,0
ENTERTAINMENT,BAR,Bar (es),26,0
ENTERTAINMENT,CASIN,Casino,27,0
ENTERTAINMENT,DISCO,Discoteca,28,0
ENTERTAINMENT,SHOW,Espectáculo Nocturno,29,0
ENTERTAINMENT,THEATRE,Teatro,30,0
FITNESS,GYM,Gimnasio,31,0
FITNESS,NONSMOK,Habs. p/No Fumadores,32,0
FITNESS,PILATES,Pilates,33,0
FITNESS,YOGA,Yoga,34,0
HANDICAPPED,HANDIC,Facilidades para Discapacitados,35,0
HEALTH,BEAUTY,Salón de Belleza,36,0
HEALTH,BOUTIQUE,Boutique,37,0
HEALTH,JACUZZI,Jacuzzi,38,0
HEALTH,MASSAGE,Masajes,39,0
HEALTH,SAUNA,Sauna,40,0
HEALTH,SPA,Spa,41,0
HEALTH,STEAMR,Vapor,42,0
HEALTH,TEMAZC,Temazcal,43,0
HEALTH,WEDDING,Facilidades Nupciales,44,0
HOTELFEATURES,BREAKFAS,Desayunador,45,0
HOTELFEATURES,CLUB,NA,46,1
HOTELFEATURES,COFFE,Cafetería,47,0
HOTELFEATURES,ELEVADOR,Elevador (es),48,0
HOTELFEATURES,GRILL,Asador,49,0
HOTELFEATURES,INTERNET,Internet,50,0
HOTELFEATURES,LIVEMUSIC,Música en vivo,51,1
HOTELFEATURES,MARINA,Marina en el hotel,52,1
HOTELFEATURES,MEDIC,Asistencia médica,53,1
HOTELFEATURES,NEWSPAPER,Periódico de cortesía,54,1
HOTELFEATURES,PICNIC,Área para picnics,55,1
HOTELFEATURES,RESTAUR,Restaurante,56,0
HOTELFEATURES,SPECFEAT,Servicios Especiales,57,0
HOTELFEATURES,WIREINTE,Internet Inalámbrico,58,0
INDOORACTIVITIES,BILLIARD,Mesa de Billar,59,0
INDOORACTIVITIES,PINGPONG,Ping Pong,60,0
INDOORACTIVITIES,TABLEGAM,Juegos de Mesa,61,0
KIDS,BABYSITT,Niñera,62,0
KIDS,KIDS,Club de Niños,63,0
KIDS,PLAYGROU,Area de juegos infantiles,64,0
KIDS,PLAYROOM,Salón de juegos,65,0
OUTDOORSPORTS,BASKETB,Basquetbol,66,0
OUTDOORSPORTS,BICYCLE,Bicicletas,67,0
OUTDOORSPORTS,FUTBALL,Cancha de Futbol Soccer,68,0
OUTDOORSPORTS,GOLF,Campo de Golf,69,0
OUTDOORSPORTS,HORSERID,Paseo a Caballo,70,0
OUTDOORSPORTS,MINI,Minigolf,71,0
OUTDOORSPORTS,SKI,Ski en nieve,72,1
OUTDOORSPORTS,SQUASH,Cancha de Squash,73,0
OUTDOORSPORTS,TENNIS,Cancha (s) de Tenis,74,0
OUTDOORSPORTS,VOLEI,Voleyball,75,0
OUTDOORSPORTS,VOLLLEYB,Volleyball,76,0
PETFRIENDLY,PETFRIEN,Mascotas,77,0
POOL,POOL,Piscina,78,1
POOL,POOLBAR,Bar en la alberca,79,1
POOL,POOLUMBRELLA,Sombrillas en la alberca,80,1
POOL,WATERPARK,Atracciones acuáticas,81,1
ROOMFEATURES,AIREACO,Aire Acondicionado,82,0
ROOMFEATURES,BALCONY,Balcón/Terraza,83,0
ROOMFEATURES,BATHROOMFEATURES,Extras de baño,84,1
ROOMFEATURES,COMFORTFEATURES,Extras de cuarto,85,1
ROOMFEATURES,COOKING,"Cocineta, microondas, etc",86,1
ROOMFEATURES,DVD,DVD,87,0
ROOMFEATURES,HABCON,Habitaciones Conectadas,88,0
ROOMFEATURES,HEAT,Calefacción,89,0
ROOMFEATURES,LIVING,Sala de estar,90,0
ROOMFEATURES,MEDIA,"Películas, iPod, etc",91,1
ROOMFEATURES,MINIFRID,Frigobar/Refrigerador,92,0
ROOMFEATURES,SAFEDEP,Caja de Seguridad,93,0
ROOMFEATURES,TELEP,Teléfono,94,0
ROOMFEATURES,TV,Televisión,95,0
ROOMFEATURES,WAKEUP,Servicio de Despertador,96,0
WATERSPORTS,FISHING,Pesca,97,0
WATERSPORTS,KAYAK,Kayak,98,0
WATERSPORTS,SAILING,Veleo,99,0
WATERSPORTS,SCUBA,Buceo (lección introductoria),100,0
WATERSPORTS,SCUBDIV,Buceo,101,0
WATERSPORTS,SNORKEL,Snorkel,102,0
WATERSPORTS,WAVERUN,Motos Acuáticas,103,0
WATERSPORTS,WINDSU,Windsurf,104,0
ZIGNORE,ZIGNORE,IGNORAR ESTA CATEGORÍA,999,1
